0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:46 +0900] "GET /Betiepo/View/css/forbottom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:47 +0900] "GET /Betiepo/img/create.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:40:47 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:54 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:54 +0900] "GET /Betiepo/View/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/View/css/form_top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/View/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/View/css/forbottom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/img/create.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:55 +0900] "GET /Betiepo/View/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:56 +0900] "GET /Betiepo/View/css/form_top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:56 +0900] "GET /Betiepo/View/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:41:56 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 304 -
